trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
126,False,"{'a': 0.5, 'e': 0.36999999999999944}",25,0,-56.431902669765094,"{0: 19, 1: 1, 2: 2, 3: 3, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.36499999999999944}",25,13,-2.4516746363975965,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.35999999999999943}",25,13,12.972643951034504,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.3549999999999994}",20,0,24.704766048447397,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
130,False,"{'a': 0.5, 'e': 0.3499999999999994}",30,8,14.02283561606611,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.3449999999999994}",35,10,27.07053247609785,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.3399999999999994}",20,9,2.9585809098241267,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.3349999999999994}",20,0,-10.798561116220945,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.3299999999999994}",20,12,2.6036017351081693,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.3249999999999994}",30,16,-50.91271646369976,"{0: 9, 1: 1, 2: 2, 3: 2, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.3199999999999994}",20,6,1.0950208271393116,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.3149999999999994}",20,12,3.5596999680266803,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.3099999999999994}",20,9,14.521044248173226,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
